intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",77.2169429315
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",81.0348607299
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",78.5745553318
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",73.3141424753
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",75.4396308469
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",77.3635031859
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",74.3890234405
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",81.2750160945
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",78.222805864
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",72.4859871987
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",75.4851124913
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",74.3150495867
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",79.1716280473
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",86.1755488532
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",82.4296590927
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",76.230827686
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",79.9363308376
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",77.5155610643
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",76.5462372178
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",80.9997901665
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",79.4805312706
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",74.0978209244
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",74.8249630501
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",73.6900975218
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",79.1063488029
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",82.4374567777
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",78.9614690918
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",75.5526347576
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",76.0871022875
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",74.3617547021
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",78.5165369739
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",80.3504487732
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",78.7876668967
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",74.4387728163
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",76.7368433233
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",79.4130445246
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",78.6180867151
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",82.7115357145
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",80.5731078439
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",73.1372084748
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",77.0302219437
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",76.98178188
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",161.796223673
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",164.412591992
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",173.959716726
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",182.99079473
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",173.587944233
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",148.408556974
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",154.502125595
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",159.26710091
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",171.632076044
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",175.751089652
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",172.146913457
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",148.901232415
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",154.781821756
A,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",161.350176504
A,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",168.186976671
A,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",180.237645844
A,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",172.379026175
A,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",145.668520817
